UID,population,tree_comp
Broders_2004,F-Mx,0.07272727272727272
Broders_2004,M-Mx,0.49122807017543857
Carter_2005,F-Mx,0.0
Cryan_2001,F-Mx,1.0
Fabianek_2015,M-Mx,0.8717948717948718
Ford_2006,M-Mx,0.0
Ford_2006,M-Mx,0.0
Foster_1999,F-Mx,0.0
Foster_1999,F-Mx,0.0
Johnson_2009,F-Mx,0.0
Johnson_2009,F-Mx,0.0
Jung_2004,M-Mx,0.7857142857142857
Lacki_2009,F-Mx,0.07407407407407407
Lacki_2009,F-Mx,0.07407407407407407
Sasse_1996,F-Mx,0.02564102564102564
Silvis_2015,F-Mx,0.009523809523809525
Badin_2014,F-Mx,0.0
Badin_2014,F-Mx,0.0
Kaupas_2016,F-L,0.0
Lereculeur_2013,M-Mx,NA
Lereculeur_2013,F-Mx,NA
O'Keefe_2009,M-Mx,0.024390243902439025
O'Keefe_2009,F-Mx,0.044444444444444446
Owen_2002,F-Mx,0.0
Swier_2003,F-Mx,0.0
Thalken_2017,F-NR,NA
Thalken_2017,F-Mx,NA
Thalken_2017,M-Mx,NA
Schultes_2002,MF-Mx,0.047619047619047616
