UID,Label
Broders_2004,Broders and Forbes 2004
Carter_2005,Carter and Feldhamer 2005
Cryan_2001,Cryan et al. 2001
Fabianek_2015,Fabianek et al. 2015
Ford_2006,Ford et al. 2006
Foster_1999,Foster and Kurta 1999
Garroway_2008,Garroway and Broders 2008
Grindal_1998,Grindal 1998
Henderson_2008,Henderson and Broders 2008
Johnson_2009,Johnson et al. 2009
Johnson_2012,Johnson et al. 2012
Jung_2004,Jung et al. 2004
Lacki_2001,Lacki and Schwierjohann 2001
Lacki_2009,Lacki et al. 2009
Menzel_2002,Menzel et al. 2002
Park_2012,Park and Broders 2012
Perry_2007,Perry and Thill 2007
Psyllakis_2006,Psyllakis and Brigham 2006
Sasse_1996,Sasse and Pekins 1996
Silvis_2015,Silvis et al. 2015
Timpone_2010,Timpone et al. 2010
Wolff_2009,Wolff et al. 2009
Badin_2014,Badin 2014
Kaupas_2016,Kaupas 2016
Keinath_2016,Keinath and Abernethy 2016
Krynak_2010,Krynak 2010
Lereculeur_2013,Lereculeur 2013
Lowe_2012,Lowe 2012
O'Keefe_2009,O'Keefe 2009
Olson_2011,Olson 2011
Owen_2002,Owen et al. 2002
Swier_2003,Swier 2003
Thalken_2017,Thalken 2017
Zimmerman_2015,Zimmerman 2015
Bales_2007,Bales 2007
Jackson_2004,Jackson 2004
