UID,population,age,sex,rep_stat,n_bats
Broders_2004,F-Mx,NA,Female,NA,16
Broders_2004,M-Mx,NA,Male,NA,16
Broders_2006,F-Mx,NA,Female,NA,17
Broders_2006,M-Mx,NA,Male,NA,16
Carter_2005,F-Mx,A,Female,NA,10
Cryan_2001,F-Mx,A,Female,NR,2
Cryan_2001,F-Mx,A,Female,P,6
Cryan_2001,F-Mx,A,Female,L,1
Fabianek_2015,M-Mx,A,Male,NA,5
Ford_2006,M-Mx,A,Male,NA,10
Foster_1999,F-Mx,A,Female,NR,1
Foster_1999,F-Mx,A,Female,P,5
Foster_1999,F-Mx,A,Female,L,2
Foster_1999,F-Mx,A,Female,PL,1
Foster_1999,F-Mx,J,Female,NR,2
Garroway_2008,MF-Mx,NA,NA,NA,3
Henderson_2008,F-Mx,A,Female,NA,21
Johnson_2009,F-Mx,A,Female,NA,36
Johnson_2012,F-Mx,A,Female,P,29
Johnson_2012,F-Mx,A,Female,L,35
Johnson_2012,F-Mx,A,Female,NR,6
Jung_2004,M-Mx,A,Male,NA,10
Lacki_2001,MF-Mx,A,Male,NA,2
Lacki_2001,MF-Mx,A,Female,NA,13
Lacki_2009,F-Mx,A,Female,P,6
Lacki_2009,F-Mx,A,Female,L,3
Lacki_2009,F-Mx,A,Female,PL,2
Lacki_2009,F-Mx,A,Female,NR,7
Menzel_2002,F-L,A,Female,L,7
Park_2012,F-L,A,Female,L,6
Park_2012,F-NR,A,Female,NR,8
Park_2012,F-Mx,A,Female,NA,14
Perry_2007,M-Mx,A,Male,NA,17
Perry_2007,F-Mx,A,Female,NA,21
Perry_2007,F-Mx,J,Female,NA,2
Psyllakis_2006,F-Mx,NA,Female,NA,1
Sasse_1996,F-Mx,NA,Female,NA,26
Silvis_2015,F-Mx,A,Female,P,21
Silvis_2015,F-Mx,A,Female,L,77
Silvis_2015,F-Mx,A,Female,PL,13
Silvis_2015,F-Mx,A,Female,NR,10
Timpone_2010,UNK,NA,NA,NA,13
Wolff_2009,UNK,NA,NA,NA,1
Badin_2014,F-Mx,A,Female,P,5
Badin_2014,F-Mx,A,Female,L,5
Badin_2014,F-Mx,A,Female,PL,2
Badin_2014,F-Mx,A,Female,NR,7
Badin_2014,F-Mx,J,Female,NR,4
Kaupas_2016,F-L,A,Female,L,11
Keinath_2016,MF-Mx,A,NA,NA,6
Krynak_2010,F-Mx,NA,Female,NA,8
Lereculeur_2013,F-Mx,NA,Female,NA,12
Lereculeur_2013,M-Mx,NA,Male,NA,9
Lowe_2012,F-Mx,NA,Female,NA,3
Lowe_2012,M-Mx,NA,Male,NA,3
O'Keefe_2009,M-Mx,A,Male,NA,11
O'Keefe_2009,M-Mx,J,Male,NA,5
O'Keefe_2009,F-Mx,A,Female,NA,15
O'Keefe_2009,F-Mx,J,Female,NA,3
Olson_2011,F-Mx,A,Female,P,3
Olson_2011,F-Mx,A,Female,L,3
Owen_2002,F-Mx,A,Female,NA,20
Swier_2003,F-Mx,A,Female,L,1
Swier_2003,F-Mx,A,Female,PL,1
Thalken_2017,MF-Mx,A,Female,NA,19
Thalken_2017,MF-Mx,A,Male,NA,7
Zimmerman_2015,M-Mx,A,Male,NA,2
Zimmerman_2015,F-Mx,A,Female,NR,3
Zimmerman_2015,F-Mx,A,Female,L,8
Zimmerman_2015,F-Mx,A,Female,PL,3
Bales_2007,MF-Mx,NA,Male,NA,9
Bales_2007,MF-Mx,NA,Female,NA,20
Jackson_2004,F-Mx,NA,Female,NA,30
Schultes_2002,MF-Mx,A,Female,PL,5
Schultes_2002,MF-Mx,A,Male,NR,2
