UID,population,sub_let,sub_pop,n_roosts
Broders_2004,F-Mx,a,NA,55
Broders_2004,M-Mx,a,NA,57
Carter_2005,F-Mx,a,NA,19
Cryan_2001,F-Mx,a,NA,21
Fabianek_2015,M-Mx,a,NA,26
Ford_2006,M-Mx,a,NA,16
Foster_1999,F-Mx,a,NA,32
Garroway_2008,F-Mx,a,NA,22
Grindal_1998,MF-Mx,a,NA,3
Henderson_2008,F-Mx,a,NA,38
Johnson_2009,F-Mx,a,Fire Treatment,25
Johnson_2009,F-Mx,b,Control Treatment,44
Johnson_2009,F-Mx,c,Combined Populations,NA
Broders_2006,F-Mx,a,NA,NA
Broders_2006,M-Mx,a,NA,NA
Johnson_2012,F-Mx,a,NA,115
Jung_2004,M-Mx,a,NA,16
Lacki_2001,F-P,b,NA,18
Lacki_2001,F-L,c,NA,23
Lacki_2001,F-PL,d,NA,7
Lacki_2001,MF-Mx,a,NA,57
Lacki_2009,F-Mx,a,Pre-burn,16
Lacki_2009,F-Mx,b,Post-burn,35
Menzel_2002,F-L,a,NA,12
Park_2012,F-Mx,c,Combined Populations,NA
Park_2012,F-L,a,NA,13
Park_2012,F-NR,b,NA,23
Perry_2007,M-Mx,a,NA,43
Perry_2007,F-Mx,b,NA,49
Psyllakis_2006,F-Mx,a,NA,1
Sasse_1996,F-Mx,a,NA,47
Silvis_2015,F-Mx,a,NA,220
Timpone_2010,UNK,a,NA,39
Wolff_2009,UNK,a,NA,4
Badin_2014,F-Mx,c,Combined Populations,71
Kaupas_2016,F-L,a,NA,22
Keinath_2016,MF-Mx,a,NA,10
Krynak_2010,F-Mx,a,NA,21
Lereculeur_2013,MF-Mx,a,NA,101
Lowe_2012,M-Mx,a,NA,5
Lowe_2012,F-Mx,b,NA,7
O'Keefe_2009,M-Mx,a,NA,50
O'Keefe_2009,F-Mx,b,NA,52
Olson_2011,F-Mx,a,NA,18
Owen_2002,F-Mx,a,NA,43
Swier_2003,F-Mx,a,NA,9
Thalken_2017,F-NR,a,NA,38
Thalken_2017,F-Mx,b,NA,30
Zimmerman_2015,F-Mx,b,NA,17
Zimmerman_2015,M-Mx,a,NA,2
Bales_2007,MF-Mx,a,NA,63
Jackson_2004,F-Mx,a,NA,259
