UID,seasons
Broders_2004,3
Carter_2005,3
Cryan_2001,3
Fabianek_2015,3
Ford_2006,1
Foster_1999,2
Garroway_2008,1
Grindal_1998,1
Henderson_2008,1
Johnson_2009,2
Johnson_2012,2
Jung_2004,1
Lacki_2001,1
Lacki_2009,2
Menzel_2002,1
Park_2012,1
Perry_2007,5
Psyllakis_2006,2
Sasse_1996,2
Silvis_2015,2
Timpone_2010,2
Wolff_2009,1
Badin_2014,2
Kaupas_2016,2
Keinath_2016,1
Krynak_2010,1
Lereculeur_2013,1
Lowe_2012,2
O'Keefe_2009,3
Olson_2011,1
Owen_2002,2
Swier_2003,1
Thalken_2017,2
Zimmerman_2015,2
Bales_2007,2
Jackson_2004,2
Schultes_2002,2
