UID,population,species,genus,tree_type,n_trees
Henderson_2008,F-Mx,Acer spp.,Acer,Hardwood,36
Henderson_2008,F-Mx,Betula papyrifera,Betula,Hardwood,1
Johnson_2009,F-Mx,Robinia pseudoacacia,Robinia,Hardwood,33
Johnson_2009,F-Mx,Quercus spp.,Quercus,Hardwood,10
Johnson_2009,F-Mx,Acer spp.,Acer,Hardwood,10
Johnson_2009,F-Mx,Sassafras albidum,Sassafras,Hardwood,5
Johnson_2009,F-Mx,Oxydendrum arboreum,Oxydendrum,Hardwood,3
Johnson_2009,F-Mx,Prunus serotina,Prunus,Hardwood,3
Johnson_2009,F-Mx,Carya spp.,Carya,Hardwood,1
Johnson_2009,F-Mx,Liriodendron tulipifera,Liriodendron,Hardwood,1
Johnson_2009,F-Mx,Magnolia spp.,Magnolia,Hardwood,1
Jung_2004,M-Mx,Pinus strobus,Pinus,Softwood,16
Jung_2004,M-Mx,Pinus banksiana,Pinus,Softwood,4
Jung_2004,M-Mx,Populus tremuloides,Populus,Hardwood,6
Jung_2004,M-Mx,Picea glauca,Picea,Softwood,2
Lacki_2001,MF-Mx,Acer spp.,Acer,Hardwood,5
Lacki_2001,MF-Mx,Carya spp.,Carya,Hardwood,2
Lacki_2001,MF-Mx,Fagus grandifolia,Fagus,Hardwood,1
Lacki_2001,MF-Mx,Liriodendron tulipifera,Liriodendron,Hardwood,2
Lacki_2001,MF-Mx,Nyssa sylvatica,Nyssa,Hardwood,2
Lacki_2001,MF-Mx,Oxydendrum arboreum,Oxydendrum,Hardwood,8
Lacki_2001,MF-Mx,Pinus echinata,Pinus,Softwood,15
Lacki_2001,MF-Mx,Quercus spp.,Quercus,Hardwood,16
Lacki_2001,MF-Mx,Sassafras albidum,Sassafras,Hardwood,6
Lacki_2009,F-Mx,Quercus spp.,Quercus,Hardwood,22
Lacki_2009,F-Mx,Acer spp.,Acer,Hardwood,8
Lacki_2009,F-Mx,Carya spp.,Carya,Hardwood,7
Lacki_2009,F-Mx,Liriodendron tulipifera,Liriodendron,Hardwood,6
Lacki_2009,F-Mx,Pinus spp.,Pinus,Softwood,4
Lacki_2009,F-Mx,Sassafras albidum,Sassafras,Hardwood,2
Lacki_2009,F-Mx,Ulmus spp.,Ulmus,Hardwood,1
Lacki_2009,F-Mx,Magnolia spp.,Magnolia,Hardwood,1
Lacki_2009,F-Mx,Juglans nigra,Juglans,Hardwood,1
Lacki_2009,F-Mx,Nyssa sylvatica,Nyssa,Hardwood,1
Lacki_2009,F-Mx,Cornus spp.,Cornus,Hardwood,1
Park_2012,F-Mx,Abies balsamea,Abies,Softwood,13
Park_2012,F-Mx,Picea mariana,Picea,Softwood,1
Park_2012,F-Mx,Betula papyrifera,Betula,Hardwood,10
Perry_2007,F-Mx,Pinus echinata,Pinus,Softwood,33
Perry_2007,F-Mx,Quercus spp.,Quercus,Hardwood,5
Perry_2007,F-Mx,Acer spp.,Acer,Hardwood,3
Perry_2007,F-Mx,Prunus serotina,Prunus,Hardwood,1
Perry_2007,M-Mx,Pinus echinata,Pinus,Softwood,25
Perry_2007,M-Mx,Quercus spp.,Quercus,Hardwood,9
Perry_2007,M-Mx,Acer spp.,Acer,Hardwood,5
Perry_2007,M-Mx,Nyssa sylvatica,Nyssa,Hardwood,1
Psyllakis_2006,F-Mx,Populus tremuloides,Populus,Hardwood,1
Sasse_1996,F-Mx,Fagus grandifolia,Fagus,Hardwood,14
Sasse_1996,F-Mx,Acer spp.,Acer,Hardwood,19
Sasse_1996,F-Mx,Betula alleghaniensis,Betula,Hardwood,2
Sasse_1996,F-Mx,Prunus serotina,Prunus,Hardwood,1
Sasse_1996,F-Mx,Tsuga canadensis,Tsuga,Softwood,1
Sasse_1996,F-Mx,Betula papyrifera,Betula,Hardwood,1
Sasse_1996,F-Mx,Fraxinus americana,Fraxinus,Hardwood,1
Silvis_2015,F-Mx,Acer spp.,Acer,Hardwood,11
Silvis_2015,F-Mx,Carya spp.,Carya,Hardwood,3
Silvis_2015,F-Mx,Celtis occidentalis,Celtis,Hardwood,1
Silvis_2015,F-Mx,Cercis canadensis,Cercis,Hardwood,4
Silvis_2015,F-Mx,Fagus grandifolia,Fagus,Hardwood,3
Silvis_2015,F-Mx,Fraxinus americana,Fraxinus,Hardwood,6
Silvis_2015,F-Mx,Fraxinus quadrangulata,Fraxinus,Hardwood,1
Silvis_2015,F-Mx,Juglans nigra,Juglans,Hardwood,2
Silvis_2015,F-Mx,Juniperus virginiana,Juniperus,Softwood,1
Silvis_2015,F-Mx,Nyssa sylvatica,Nyssa,Hardwood,1
Silvis_2015,F-Mx,Planatus occidentalis,Planatus,Hardwood,1
Silvis_2015,F-Mx,Quercus spp.,Quercus,Hardwood,12
Silvis_2015,F-Mx,Robinia pseudoacacia,Robinia,Hardwood,3
